Actor,Movies
Nassar,"['Mathru Devo Bhava', 'Thalaivi', 'Serious Men', 'Article 15', 'Sadha Nannu Nadipe', 'Kabadadaari', 'The Legend', 'Ninnila Ninnila', 'राम सेतु', 'Do Baaraa 2:12', 'Dobaaraa', 'Mugguru Monagallu', 'Teen Genius', 'Rudhran', 'Nallamala', 'Methagu 2', 'Mumbai Ki Kiran Bedi', 'Golimar', '1945', 'Raakshasaru', 'Prema Kavali', 'Deiva Thirumagal', 'Rowdy Rathore', 'Dhammu', 'Mugamoodi', '1 नेनोक्काडीन', '1: Ek Ka Dum', 'Jaan Ki Baazi', 'Rama Banam', 'Laika', 'Jigarthanda', 'Uttama Villain', 'Saivam', 'Pakk Pakk Pappaa', 'Sabse Badhkar Hum 3', 'Mission Vande Mataram', 'Double Attack 2', 'Courier Boy Kalyan', 'Irudhi Suttru', 'Sarabha', 'Aandavan Kattalai', 'Pappu Passport', 'Bogan', '8 Thottakkal', 'Aabhaasam', 'Meri Sazish', '100% Kadhal', 'Nota', 'Vijetha', '118', 'Chanakya', 'Iddari Lokam Okate']"
Tanikella Bharani,"['Mathru Devo Bhava', 'पोंनियिन सेल्वन: भाग 1', 'Raghupathi Venkaiah Naidu', 'Super Machi', 'Maa Vintha Gaadha Vinuma', 'Son of India', 'Gaali Sampath', 'April 28 Em Jarigindi', 'HIT: The 2nd Case', 'Skylab', 'PellisandaD', 'Godse', '180', 'Na venta paduthunna chinnadevadamma', 'Wanted PanduGod', 'Alluri', 'First Day First Show', 'Mr. King', 'Andaru Bagundali Andulo Nenu Undali', 'Cheppalani Undhi', 'Mithunam', 'Adda', 'Deyyam', 'Ek Ajeeb Dastan: Shaapit', 'Bandipotu', 'Surya vs. Surya', 'Bruce Lee: The Fighter', 'Gentleman', 'Toofan', 'Jyo Achyutananda', 'Tabahi Zulm Ki', 'Naruda Donaruda', 'Ninnu Kori', 'Aaj Ka Khiladi', 'Shamantakamani', 'Diljala Aashiq', 'Eakam']"
Brahmanandam,"['Mathru Devo Bhava', 'Ranga Maarthaanda', 'Lucky', 'Check Mate', 'Panchatantram', 'Judwaa No. 1', 'Jigar Kaleja', 'Aha Naa Pellanta', 'Wanted PanduGod', 'बादशाह', 'The Action Man Adhinayakudu', 'दरुवु', 'Jeene Nahi Doonga', 'Dadagiri', 'Dipawali Ratri', 'Sabse Badi Hera Pheri 2', 'Double Attack', 'Risk', 'Dangerous Khiladi 6', 'Alludu Seenu', 'The Super Khiladi 2', 'अनुक्षनाम', 'Power Unlimited', 'Ek Khiladi', 'Moodu Mukkallo Cheppalante', 'Dohchay', ""Vidroh: Let's Fight Back"", 'Dongata', 'Businessman 2', 'Pandaga Chesko', 'Akhil: The Power of Jua', 'Akhil', 'Patel on Sale', 'Abbayitho Ammayi', 'Bengal Tiger', 'Garam', 'Meri Sazish', 'Thugs of Amrica', 'Ishta Sakhi', 'MLA Ka Power', 'I Love You']"
Charu Haasan,"['Mathru Devo Bhava', 'Gamanam', 'Popcorn', 'Shaitan', 'Saithan']"
Madhavi,['Mathru Devo Bhava']
K. Ajayakumar,['Mathru Devo Bhava']
K.S. Rama Rao,"['Mathru Devo Bhava', 'Supreme Khiladi 2']"
M.M. Keeravani,"['Mathru Devo Bhava', ""12 O'Clock"", 'Cobra', 'Dum 3', 'Konda Polam', 'PellisandaD', 'Maryada Ramanna', 'Nafrat Ki Jung', 'Sangharsh Aur Vijay', 'Jayamma Panchayathi', 'Vedam', 'Antim Faisla', 'Dhammu', 'Special 26', 'Special Chabbis', 'Good Morning Sunshine', 'Om Namo Venkatesaya', 'दिक्कुलू चूदक्कू रम्या', 'Savyasachi', 'NTR: Kathanayakudu', 'एन टी आर महानयाकूदू']"
Chota K. Naidu,"['Mathru Devo Bhava', 'Kanchana 4', 'Raju Gari Gadhi 3', 'Alludu Adhurs', 'Bimbisara', 'The Super Khiladi', 'Prema Kavali', 'Ginna Bhai', 'Dangerous Khiladi', 'Tiger', 'Aakhri Warning', 'Asli Fighter', 'Mera Faisla', 'Inspector Vijay']"
Nivas,"['Mathru Devo Bhava', 'Tenali Ramakrishna BA.BL', 'Mosagallu', 'Crrush', 'Thugs of Amrica']"
